
20
1,15,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MATH 237,MATH 247,,,,,,,,,,,,,,
AFM 101,ACTSC 231,ACTSC 232,ACTSC 331,ACTSC 371,ACTSC 431,ACTSC 446,AMATH 250,ECON 101,ECON 102,ENGL 378,MTHEL 131,STAT 330,STAT 331,STAT 333
STAT 340,STAT 341,,,,,,,,,,,,,,
ACTSC 455,ACTSC 431,ACTSC 432,ACTSC 433,ACTSC 445,ACTSC 446,ACTSC 453,ACTSC 462,ACTSC 463,ACTSC 468,ACTSC 469,ACTSC 471,ACTSC 489,
AFM 424,STAT 431,STAT 433,STAT 441,STAT 443,ACTSC 331,ACTSC 371,ACTSC 372,ACTSC 391,ACTSC 455,ACTSC 431,ACTSC 432,ACTSC 433,ACTSC 445,ACTSC 446,ACTSC 453,ACTSC 462,ACTSC 463,ACTSC 468,ACTSC 469,ACTSC 471,ACTSC 489,
ACTSC 331,ACTSC 371,ACTSC 372,ACTSC 391,ACTSC 455,ACTSC 431,ACTSC 432,ACTSC 433,ACTSC 445,ACTSC 446,ACTSC 453,ACTSC 462,ACTSC 463,ACTSC 468,ACTSC 469,ACTSC 471,ACTSC 489,AMATH 310,AMATH 331,AMATH 332,AMATH 342,AMATH 343,AMATH 350,AMATH 351,AMATH 353,AMATH 361,AMATH 373,AMATH 382,AMATH 391,AMATH 333,AMATH 390,AMATH 383,AMATH 442,AMATH 444,AMATH 451,AMATH 453,AMATH 455,AMATH 456,AMATH 463,AMATH 473,AMATH 475,AMATH 495,AMATH 431,AMATH 432,AMATH 433,AMATH 447,AMATH 477,CO 327,CO 330,CO 331,CO 342,CO 351,CO 353,CO 367,CO 370,CO 372,CO 380,CO 352,CO 355,CO 487,CO 430,CO 434,CO 439,CO 440,CO 442,CO 444,CO 446,CO 450,CO 452,CO 453,CO 454,CO 456,CO 459,CO 463,CO 466,CO 471,CO 480,CO 481,CO 485,CO 499,MATH 455W,MATH 475W,PMATH 345,PMATH 320,PMATH 330,PMATH 331,PMATH 332,PMATH 334,PMATH 336,PMATH 340,PMATH 347,PMATH 348,PMATH 351,PMATH 352,PMATH 360,PMATH 365,PMATH 367,PMATH 370,PMATH 399,PMATH 346,PMATH 354,PMATH 333,PMATH 321,PMATH 432,PMATH 433,PMATH 440,PMATH 441,PMATH 445,PMATH 446,PMATH 450,PMATH 451,PMATH 453,PMATH 464,PMATH 465,PMATH 467,PMATH 499,PMATH 434,PMATH 442,PMATH 444,STAT 316,STAT 321,STAT 322,STAT 330,STAT 331,STAT 332,STAT 333,STAT 334,STAT 337,STAT 340,STAT 341,STAT 371,STAT 372,STAT 373,STAT 446,STAT 430,STAT 431,STAT 433,STAT 435,STAT 436,STAT 437,STAT 440,STAT 441,STAT 442,STAT 443,STAT 444,STAT 450,STAT 454,STAT 464,STAT 466,STAT 467,STAT 468,STAT 469,STAT 438,
EMLS 101R,EMLS 102R,EMLS 129R,ENGL 129R,ENGL 109,SPCOM 100,SPCOM 223,,,,,,,,
MATH 116,MATH 117,MATH 127,MATH 137,MATH 147,,,,,,,,,,,
MATH 118,MATH 119,MATH 128,MATH 138,MATH 148,,,,,,,,,,,
MATH 106,MATH 114,MATH 115,MATH 136,MATH 146,,,,,,,,,,,
CS 115,CS 135,CS 145,,,,,,,
CS 116,CS 136,CS 146,,,,,,,
MATH 135,MATH 145,,,,,,,,
MATH 106,MATH 136,MATH 146,,,,,,,
MATH 127,MATH 137,MATH 147,,,,,,,
MATH 128,MATH 138,MATH 148,,,,,,,
MATH 235,MATH 245,,,,,,,,
MATH 237,MATH 239,MATH 247,MATH 249,,,,,,
STAT 230,STAT 240,,,,,,,,
STAT 231,STAT 241,,,,,,,,
